"","Annotation","Cluster 1 True","Cluster 1 PercentTrue","Cluster 2 True","Cluster 2 PercentTrue","Cluster 3 True","Cluster 3 PercentTrue","Cluster 4 True","Cluster 4 PercentTrue","Cluster 5 True","Cluster 5 PercentTrue","Cluster 6 True","Cluster 6 PercentTrue"
"1","TE_Copia",3,0.181268882175227,2,0.188323917137476,2,0.272108843537415,0,0,2,0.173160173160173,1,0.215982721382289
"2","threeprimeUTR",5,0.302114803625378,345,32.4858757062147,235,31.9727891156463,472,43.1444241316271,488,42.2510822510823,65,14.0388768898488
"3","TE_Mariner",11,0.664652567975831,3,0.282485875706215,5,0.680272108843537,4,0.36563071297989,16,1.38528138528139,1,0.215982721382289
"4","CDS",5,0.302114803625378,773,72.7871939736347,280,38.0952380952381,572,52.2851919561243,651,56.3636363636364,295,63.7149028077754
"5","MSAT",1,0.0604229607250755,0,0,2,0.272108843537415,0,0,0,0,0,0
"6","TE_Order_LINE",937,56.6163141993958,195,18.361581920904,87,11.8367346938776,31,2.83363802559415,66,5.71428571428571,9,1.9438444924406
"7","TE_P",8,0.483383685800604,3,0.282485875706215,2,0.272108843537415,1,0.0914076782449726,15,1.2987012987013,1,0.215982721382289
"8","TE_TOC1",6,0.362537764350453,15,1.41242937853107,0,0,0,0,0,0,0,0
"9","rRNA",0,0,0,0,3,0.408163265306122,12,1.09689213893967,0,0,0,0
"10","mRNA",13,0.785498489425982,1061,99.9058380414313,552,75.1020408163265,951,86.9287020109689,967,83.7229437229437,380,82.07343412527
"11","miRNA",0,0,0,0,42,5.71428571428571,0,0,0,0,0,0
"12","TE_TOC2",1,0.0604229607250755,0,0,0,0,0,0,0,0,0,0
"13","TE_Order_LTR",67,4.04833836858006,55,5.1789077212806,56,7.61904761904762,9,0.822669104204753,58,5.02164502164502,19,4.1036717062635
"14","TE_Novosib",5,0.302114803625378,1,0.0941619585687382,3,0.408163265306122,1,0.0914076782449726,3,0.25974025974026,6,1.29589632829374
"15","introns",6,0.362537764350453,592,55.743879472693,306,41.6326530612245,684,62.5228519195612,575,49.7835497835498,222,47.9481641468683
"16","TE_RTE",9,0.54380664652568,8,0.753295668549906,14,1.9047619047619,6,0.548446069469835,11,0.952380952380952,1,0.215982721382289
"17","TE_Gypsy",40,2.41691842900302,25,2.35404896421846,21,2.85714285714286,5,0.457038391224863,41,3.54978354978355,17,3.67170626349892
"18","fiveprimeUTR",0,0,237,22.316384180791,134,18.2312925170068,195,17.8244972577697,268,23.2034632034632,48,10.3671706263499
"19","irs",743,44.8942598187311,434,40.8662900188324,255,34.6938775510204,106,9.68921389396709,265,22.9437229437229,43,9.28725701943845
"20","transposons",1106,66.8277945619335,304,28.6252354048964,199,27.0748299319728,86,7.86106032906764,322,27.8787878787879,51,11.0151187904968
"21","TE_DIRS",0,0,0,0,0,0,2,0.182815356489945,1,0.0865800865800866,0,0
"22","TE_Class_RET",1015,61.3293051359517,267,25.1412429378531,150,20.4081632653061,48,4.38756855575868,133,11.5151515151515,29,6.26349892008639
"23","TE_EnSpm",21,1.26888217522659,3,0.282485875706215,1,0.136054421768707,1,0.0914076782449726,8,0.692640692640693,3,0.647948164146868
"24","anno",13,0.785498489425982,1061,99.9058380414313,552,75.1020408163265,951,86.9287020109689,967,83.7229437229437,380,82.07343412527
"25","TE_TCR1",0,0,0,0,0,0,0,0,4,0.346320346320346,0,0
"26","TE_DualenRandI",30,1.81268882175227,25,2.35404896421846,9,1.22448979591837,10,0.914076782449726,6,0.519480519480519,0,0
"27","TE_REM1",3,0.181268882175227,4,0.376647834274953,0,0,0,0,2,0.173160173160173,0,0
"28","promoter",107,6.46525679758308,198,18.6440677966102,172,23.4013605442177,258,23.5831809872029,371,32.1212121212121,69,14.902807775378
"29","TE_Gulliver",2,0.120845921450151,0,0,11,1.49659863945578,0,0,3,0.25974025974026,0,0
"30","exons",7,0.422960725075529,957,90.1129943502825,452,61.4965986394558,744,68.0073126142596,877,75.9307359307359,336,72.5701943844493
"31","TE_Class_DNA",76,4.59214501510574,15,1.41242937853107,44,5.98639455782313,18,1.64533820840951,131,11.3419913419913,24,5.18358531317495
"32","TE_L1",906,54.7432024169184,167,15.7250470809793,65,8.84353741496599,15,1.37111517367459,52,4.5021645021645,8,1.72786177105832
"33","repetativeSeq",1620,97.8851963746224,1001,94.256120527307,533,72.5170068027211,464,42.4131627056673,812,70.3030303030303,246,53.1317494600432
"34","TE_Harbinger",0,0,0,0,0,0,0,0,0,0,0,0
"35","TE_Order_TIR",69,4.16918429003021,15,1.41242937853107,33,4.48979591836735,12,1.09689213893967,115,9.95670995670996,23,4.96760259179266
"36","TE_Order_DIRS",0,0,0,0,0,0,2,0.182815356489945,1,0.0865800865800866,0,0
"37","trs",176,10.6344410876133,190,17.8907721280603,277,37.687074829932,177,16.1791590493601,398,34.4588744588745,100,21.5982721382289
"38","genes",13,0.785498489425982,1061,99.9058380414313,552,75.1020408163265,951,86.9287020109689,967,83.7229437229437,380,82.07343412527
"39","TE_hAT",22,1.32930513595166,5,0.470809792843691,11,1.49659863945578,7,0.639853747714808,71,6.14718614718615,14,3.02375809935205
"40","TE_Order_SINE",42,2.53776435045317,25,2.35404896421846,16,2.17687074829932,1,0.0914076782449726,1,0.0865800865800866,0,0
"41","intergenic",1642,99.214501510574,1,0.0941619585687382,183,24.8979591836735,143,13.0712979890311,188,16.2770562770563,83,17.92656587473
"42","methCG",414,25.0151057401813,386,36.346516007533,33,4.48979591836735,9,0.822669104204753,13,1.12554112554113,11,2.37580993520518
"43","methCHH",6,0.362537764350453,13,1.2241054613936,20,2.72108843537415,13,1.18829981718464,14,1.21212121212121,14,3.02375809935205
"44","methCHG",7,0.422960725075529,5,0.470809792843691,4,0.54421768707483,3,0.274223034734918,3,0.25974025974026,2,0.431965442764579
"45","methAll",420,25.3776435045317,399,37.5706214689266,52,7.07482993197279,23,2.10237659963437,27,2.33766233766234,24,5.18358531317495
"46","CC1883",126,7.61329305135952,102,9.6045197740113,727,98.9115646258503,881,80.5301645338208,32,2.77056277056277,112,24.1900647948164
"47","CC125",133,8.03625377643505,74,6.96798493408663,363,49.3877551020408,421,38.4826325411335,35,3.03030303030303,31,6.69546436285097
"48","CC4350",978,59.0936555891239,544,51.2241054613936,536,72.9251700680272,826,75.5027422303474,1009,87.3593073593074,295,63.7149028077754
"49","J",1293,78.1268882175227,835,78.6252354048964,133,18.0952380952381,373,34.0950639853748,15,1.2987012987013,23,4.96760259179266
"50","CC1883specific",7,0.422960725075529,3,0.282485875706215,190,25.8503401360544,171,15.6307129798903,0,0,65,14.0388768898488
"51","CC4350specific",112,6.76737160120846,26,2.44821092278719,0,0,168,15.3564899451554,955,82.6839826839827,259,55.939524838013
"52","CC125specific",6,0.362537764350453,9,0.847457627118644,0,0,5,0.457038391224863,0,0,2,0.431965442764579
"53","Jspecific",550,33.2326283987915,429,40.3954802259887,0,0,6,0.548446069469835,0,0,8,1.72786177105832
"54","vegetative",1654,99.9395770392749,1062,100,735,100,1094,100,1095,94.8051948051948,436,94.1684665226782
"55","zygote",484,29.2447129909366,234,22.0338983050847,458,62.312925170068,344,31.4442413162706,498,43.1168831168831,79,17.0626349892009
"56","vegetativespecific",1171,70.7552870090634,828,77.9661016949153,277,37.687074829932,750,68.5557586837294,657,56.8831168831169,384,82.9373650107991
"57","zygotespecific",1,0.0604229607250755,0,0,0,0,0,0,60,5.19480519480519,27,5.83153347732181
"58","wtAdrian",108,6.52567975830816,78,7.34463276836158,718,97.687074829932,662,60.5118829981718,24,2.07792207792208,93,20.0863930885529
"59","dcl3Adrian",94,5.6797583081571,78,7.34463276836158,121,16.4625850340136,842,76.9652650822669,30,2.5974025974026,66,14.2548596112311
"60","ago3Adrian",108,6.52567975830816,86,8.09792843691149,440,59.8639455782313,696,63.6197440585009,26,2.25108225108225,65,14.0388768898488
"61","mutantAdrian",125,7.55287009063444,102,9.6045197740113,500,68.0272108843537,880,80.4387568555759,32,2.77056277056277,95,20.5183585313175
"62","wtAdrianspecific",1,0.0604229607250755,0,0,227,30.8843537414966,1,0.0914076782449726,0,0,17,3.67170626349892
"63","mutantAdrianspecific",18,1.08761329305136,24,2.25988700564972,9,1.22448979591837,219,20.018281535649,8,0.692640692640693,19,4.1036717062635
"64","notDCL3dependent",16,0.966767371601208,18,1.69491525423729,9,1.22448979591837,187,17.0932358318099,6,0.519480519480519,12,2.59179265658747
"65","DCL3dependent",30,1.81268882175227,18,1.69491525423729,606,82.4489795918367,7,0.639853747714808,0,0,39,8.42332613390929
"66","AGO3dependent",2,0.120845921450151,0,0,278,37.8231292517007,52,4.75319926873857,0,0,36,7.77537796976242
"67","notAGO3dependent",2,0.120845921450151,8,0.753295668549906,0,0,86,7.86106032906764,2,0.173160173160173,8,1.72786177105832
"68","phased",2,0.120845921450151,5,0.470809792843691,130,17.687074829932,5,0.457038391224863,7,0.606060606060606,0,0
